CODIGO;INCLUSAO
217165;2026-05-22
206699;2023-05-12
200850;2020-11-30
215967;2026-02-11
207505;2023-08-18
153427;2019-11-04
202210;2021-02-18
106884;2019-01-11
206163;2023-02-06
211758;2025-02-03
210545;2024-09-16
204688;2022-04-29
211516;2025-01-14
204308;2022-02-11
206548;2023-04-19
203646;2021-10-19
209938;2024-07-18
212450;2025-03-31
205240;2022-07-28
50966;2013-01-22
211028;2024-11-06
51225;2014-08-25
207586;2023-08-31
207543;2023-08-23
207650;2023-09-12
206543;2023-04-20
82099;2018-04-02
162753;2020-01-06
170022;2020-02-14
213443;2025-06-24
204741;2022-05-09
214743;2025-10-14
190593;2020-06-02
211167;2024-11-21
206174;2023-02-07
171040;2020-02-17
203422;2021-09-14
204872;2022-06-03
215448;2025-12-30
214071;2025-09-01
207870;2023-10-10
51208;2014-07-08
204557;2022-04-01
216102;2026-02-18
211899;2025-02-12
92360;2018-06-18
207346;2023-07-31
201089;2021-01-21
212764;2025-04-17
200426;2020-10-01
209930;2024-07-17
210630;2024-09-20
204824;2022-05-25
216971;2026-05-15
122588;2019-06-14
50368;2010-10-08
88285;2018-05-14
205693;2022-10-20
109027;2019-02-25
209385;2024-05-21
212972;2025-05-09
204921;2022-06-14
136942;2019-08-28
206789;2023-05-24
214761;2025-10-15
50544;2011-06-14
202246;2021-02-22
211732;2025-01-31
194747;2020-06-30
215015;2025-11-12
203505;2021-09-24
111047;2019-02-27
114405;2019-04-16
114317;2019-04-05
67611;2017-10-05
208280;2024-01-04
203034;2021-07-21
195765;2020-07-01
107990;2019-02-11
100631;2018-09-27
51396;2015-09-17
215583;2026-02-04
89292;2018-05-17
66426;2017-07-26
202430;2021-04-05
51512;2016-04-26
214099;2025-08-22
209515;2024-06-03
211970;2025-02-19
216949;2026-05-04
212078;2025-02-25
209249;2024-05-07
216723;2026-04-09
214748;2025-10-22
214043;2025-08-25
208464;2024-01-23
212510;2025-04-03
209196;2024-05-02
198020;2020-08-14
208279;2024-01-04
215346;2025-12-17
207884;2023-10-16
210928;2024-10-23
207639;2023-09-11
208742;2024-02-28
202889;2021-07-06
212786;2025-04-23
215357;2025-12-16
211368;2025-01-06
207084;2023-06-29
208295;2024-01-05
212252;2025-03-19
215248;2025-12-05
203359;2021-08-31
214328;2025-09-25
207670;2023-09-14
202268;2021-02-24
205827;2022-11-18
214143;2025-08-28
190592;2020-06-02
207295;2023-07-28
209197;2024-05-02
208539;2024-01-31
211183;2024-11-25
212625;2025-04-09
204696;2022-05-03
148219;2019-10-16
213496;2025-06-26
206133;2023-01-31
207846;2023-10-05
212791;2025-04-24
56021;2016-12-14
203772;2021-11-08
209805;2024-07-05
213655;2025-07-30
214035;2025-09-12
212766;2025-04-17
217380;2026-06-10
203309;2021-08-25
211572;2025-01-20
212343;2025-03-25
212368;2025-03-25
212364;2025-03-25
213866;2025-08-04
209903;2024-07-15
211977;2025-02-19
216559;2026-04-07
216453;2026-03-16
217323;2026-06-10
159603;2019-11-28
211257;2024-12-06
61143;2017-03-23
213086;2025-05-20
84204;2018-04-26
207550;2023-08-28
79000;2018-02-22
51851;2016-09-20
203262;2021-08-18
51827;2016-09-13
207328;2023-07-27
62167;2017-04-04
81065;2018-03-19
116475;2019-05-09
67585;2017-09-27
195803;2020-07-07
50030;2010-08-16
211329;2024-12-20
201084;2021-01-21
148192;2019-10-11
216110;2026-02-20
207644;2023-09-12
203465;2021-09-20
203055;2021-07-22
215194;2025-12-30
215419;2025-12-22
215894;2026-02-03
214836;2025-10-20
211041;2024-11-08
182332;2020-04-13
213361;2025-06-16
214876;2025-10-20
213408;2025-06-17
210715;2024-09-30
207581;2023-09-11
211689;2025-01-29
76898;2018-01-23
217483;2026-06-17
210720;2024-09-30
214915;2025-10-28
209134;2024-04-29
216326;2026-03-11
216444;2026-03-16
209984;2024-07-24
213267;2025-06-05
195775;2020-07-02
67583;2017-09-27
216123;2026-02-23
202812;2021-06-26
210090;2024-08-05
209426;2024-05-27
213965;2025-08-19
205978;2022-12-29
89298;2018-05-21
196959;2020-08-21
185455;2020-05-08
203093;2021-08-02
216932;2026-05-08
88263;2018-05-11
88249;2018-05-10
205806;2022-11-10
203632;2021-10-18
51354;2015-06-30
62182;2017-04-17
206883;2023-06-07
202599;2021-05-19
202266;2021-02-23
216903;2026-05-15
215093;2025-11-18
215354;2025-12-17
209666;2024-06-24
211513;2025-01-15
209585;2024-06-12
51175;2014-03-31
204679;2022-04-27
210898;2024-10-18
213862;2025-08-11
215881;2026-01-30
50557;2011-06-20
215365;2025-12-22
209671;2024-06-24
118490;2019-05-15
202111;2021-01-27
215128;2025-11-18
50219;2010-09-20
214030;2025-08-21
96494;2018-08-07
140056;2019-09-18
50400;2010-12-10
214881;2025-10-23
209400;2024-05-22
200213;2020-09-04
50813;2012-08-16
92359;2018-06-15
204913;2022-06-09
207486;2023-08-15
203385;2021-09-09
63278;2017-05-24
212054;2025-02-24
50042;2010-08-20
114403;2019-04-16
216719;2026-04-08
51062;2013-06-18
82136;2018-04-10
167972;2020-02-14
211170;2024-12-04
173109;2020-02-21
173070;2020-02-20
132878;2019-08-13
200817;2020-11-24
207082;2023-06-30
210795;2024-10-07
208827;2024-03-12
50707;2012-03-28
210679;2024-09-24
211086;2024-11-13
206600;2023-05-18
211386;2025-01-08
209860;2024-07-15
167965;2020-02-05
203358;2021-08-31
183342;2020-04-14
210033;2024-07-31
83195;2018-04-25
208505;2024-01-26
203522;2021-09-29
215705;2026-02-02
209524;2024-06-04
204814;2022-05-24
50859;2012-09-18
208885;2024-03-21
212530;2025-04-03
209536;2024-06-06
74795;2017-12-21
179232;2020-03-17
210034;2024-07-31
212696;2025-04-15
211164;2024-11-21
207390;2023-08-03
203298;2021-08-23
50677;2012-01-31
207709;2023-09-21
212288;2025-03-18
214077;2025-09-09
51116;2013-11-05
51112;2013-10-29
208414;2024-01-17
209760;2024-07-02
210070;2024-08-01
51513;2016-04-27
207780;2023-09-28
216119;2026-02-23
70742;2017-11-29
202363;2021-03-12
212763;2025-04-17
208624;2024-02-09
205367;2022-08-18
215656;2026-02-06
202686;2021-06-11
208000;2023-11-06
51064;2013-06-21
103747;2018-10-26
51712;2016-06-09
204312;2022-02-11
214540;2025-10-01
70650;2017-10-24
204841;2022-05-27
51723;2016-06-21
202192;2021-02-10
205838;2022-11-24
215011;2025-11-05
208344;2024-01-12
213180;2025-05-27
158579;2019-11-27
51514;2016-04-27
200062;2020-08-19
204936;2022-06-14
205562;2022-09-21
50611;2011-08-08
61112;2017-03-09
202434;2021-04-05
52987;2016-11-23
217551;2026-06-25
205403;2022-08-25
202933;2021-07-12
203739;2021-10-29
65353;2017-06-22
102733;2018-10-23
204361;2022-02-16
57046;2017-01-17
51401;2015-09-28
207988;2023-11-06
212176;2025-03-12
208336;2024-01-10
200914;2020-12-10
208822;2024-03-12
207373;2023-08-02
50058;2010-08-30
203224;2021-08-20
211157;2024-11-21
206085;2023-02-02
81068;2018-03-20
50718;2012-04-17
170032;2020-02-17
209928;2024-07-17
51325;2015-04-08
160672;2019-12-05
205336;2022-08-12
208161;2023-12-04
212168;2025-03-11
200877;2020-12-04
211420;2025-01-09
211862;2025-02-10
209815;2024-07-08
50141;2010-09-14
54001;2016-11-30
215638;2026-01-21
134907;2019-08-22
200425;2020-10-01
212905;2025-05-06
213009;2025-05-13
206665;2023-05-09
216656;2026-04-06
205939;2022-12-14
116454;2019-05-03
206186;2023-02-09
75850;2018-01-15
209835;2024-07-11
205975;2022-12-28
206200;2023-02-16
207378;2023-08-04
207796;2023-09-29
51023;2013-04-04
159617;2019-12-02
214828;2025-10-23
209126;2024-04-25
215607;2026-01-21
204787;2022-05-18
208469;2024-01-23
215533;2026-01-15
207886;2023-10-16
216702;2026-04-30
51515;2016-04-27
101684;2018-10-10
203998;2021-12-15
214135;2025-08-28
212448;2025-04-03
123630;2019-07-01
76879;2018-01-19
211651;2025-01-27
204752;2022-05-11
216780;2026-04-15
216188;2026-03-04
202422;2021-03-30
137956;2019-08-30
204722;2022-05-05
210738;2024-09-30
50081;2010-09-01
207920;2023-11-10
207144;2023-07-14
209624;2024-06-18
211958;2025-02-18
205433;2022-08-31
216679;2026-04-13
211245;2024-12-04
207600;2023-09-01
164882;2020-01-21
202340;2021-03-05
205710;2022-10-18
211331;2024-12-20
211951;2025-02-18
212337;2025-03-25
152381;2019-11-01
203475;2021-09-21
211050;2024-11-08
63287;2017-05-29
215173;2025-11-24
51327;2015-04-08
216828;2026-04-17
74825;2018-01-08
207852;2023-10-06
89312;2018-05-25
205443;2022-09-01
203675;2021-10-21
212768;2025-04-17
